symbol,name,exchange,sector
GODREJPROP.NS,Godrej Properties Limited,NSE,
HAVELLS.NS,Havells India Limited,NSE,
HAL.NS,Hindustan Aeronautics Limited,NSE,
ICICIPRULI.NS,ICICI Prudential Life Insurance,NSE,
ICICIGI.NS,ICICI Lombard General Insurance,NSE,
IDEA.NS,Vodafone Idea Limited,NSE,
IDFCFIRSTB.NS,IDFC First Bank Limited,NSE,
INDIGO.NS,InterGlobe Aviation Limited,NSE,
IOC.NS,Indian Oil Corporation Limited,NSE,
IRCTC.NS,Indian Railway Catering and Tourism Corporation,NSE,
JINDALSTEL.NS,Jindal Steel & Power Limited,NSE,
JUBLFOOD.NS,Jubilant FoodWorks Limited,NSE,
LICI.NS,Life Insurance Corporation of India,NSE,
LTIM.NS,LTIMindtree Limited,NSE,
LUPIN.NS,Lupin Limited,NSE,
MARICO.NS,Marico Limited,NSE,
MCDOWELL-N.NS,United Spirits Limited,NSE,
MPHASIS.NS,Mphasis Limited,NSE,
MUTHOOTFIN.NS,Muthoot Finance Limited,NSE,
NAUKRI.NS,Info Edge (India) Limited,NSE,
NMDC.NS,NMDC Limited,NSE,
OBEROIRLTY.NS,Oberoi Realty Limited,NSE,
OFSS.NS,Oracle Financial Services Software,NSE,
PAGEIND.NS,Page Industries Limited,NSE,
PEL.NS,Piramal Enterprises Limited,NSE,
PERSISTENT.NS,Persistent Systems Limited,NSE,
PETRONET.NS,Petronet LNG Limited,NSE,
PIDILITIND.NS,Pidilite Industries Limited,NSE,
PIIND.NS,PI Industries Limited,NSE,
PNB.NS,Punjab National Bank,NSE,
POLYCAB.NS,Polycab India Limited,NSE,
SAIL.NS,Steel Authority of India Limited,NSE,
SHREECEM.NS,Shree Cement Limited,NSE,
SIEMENS.NS,Siemens Limited,NSE,
SRF.NS,SRF Limited,NSE,
TATAPOWER.NS,Tata Power Company Limited,NSE,
TATACOMM.NS,Tata Communications Limited,NSE,
TRENT.NS,Trent Limited,NSE,
TORNTPHARM.NS,Torrent Pharmaceuticals Limited,NSE,
VEDL.NS,Vedanta Limited,NSE,
VOLTAS.NS,Voltas Limited,NSE,
ZOMATO.NS,Zomato Limited,NSE,
ZYDUSLIFE.NS,Zydus Lifesciences Limited,NSE,
AAPL.NS,Not listed,NSE,
ABCAPITAL.NS,Aditya Birla Capital Limited,NSE,
ACC.NS,ACC Limited,NSE,
ALKEM.NS,Alkem Laboratories Limited,NSE,
ATUL.NS,Atul Limited,NSE,
BALKRISIND.NS,Balkrishna Industries Limited,NSE,
BATAINDIA.NS,Bata India Limited,NSE,
BHEL.NS,Bharat Heavy Electricals Limited,NSE,
CAMS.NS,Computer Age Management Services,NSE,
CANFINHOME.NS,Can Fin Homes Limited,NSE,
CDSL.NS,Central Depository Services (India) Limited,NSE,
CENTRALBK.NS,Central Bank of India,NSE,
CLEAN.NS,Clean Science and Technology Limited,NSE,
COFORGE.NS,Coforge Limited,NSE,
CROMPTON.NS,Crompton Greaves Consumer Electricals,NSE,
CUB.NS,City Union Bank Limited,NSE,
CUMMINSIND.NS,Cummins India Limited,NSE,
DEEPAKNTR.NS,Deepak Nitrite Limited,NSE,
DELHIVERY.NS,Delhivery Limited,NSE,
DIXON.NS,Dixon Technologies (India) Limited,NSE,
ESCORTS.NS,Escorts Kubota Limited,NSE,
EXIDEIND.NS,Exide Industries Limited,NSE,
GLAND.NS,Gland Pharma Limited,NSE,
GLAXO.NS,GlaxoSmithKline Pharmaceuticals Limited,NSE,
GMRINFRA.NS,GMR Airports Infrastructure Limited,NSE,
GNFC.NS,Gujarat Narmada Valley Fertilizers,NSE,
GRANULES.NS,Granules India Limited,NSE,
GUJGASLTD.NS,Gujarat Gas Limited,NSE,
HAPPSTMNDS.NS,Happiest Minds Technologies Limited,NSE,
HDFCAMC.NS,HDFC Asset Management Company Limited,NSE,
HONAUT.NS,Honeywell Automation India Limited,NSE,
IPCALAB.NS,IPCA Laboratories Limited,NSE,
IRFC.NS,Indian Railway Finance Corporation Limited,NSE,
IEX.NS,Indian Energy Exchange Limited,NSE,
INDIANB.NS,Indian Bank,NSE,
INDUSTOWER.NS,Indus Towers Limited,NSE,
KAJARIACER.NS,Kajaria Ceramics Limited,NSE,
KEI.NS,KEI Industries Limited,NSE,
L&TFH.NS,L&T Finance Holdings Limited,NSE,
LAURUSLABS.NS,Laurus Labs Limited,NSE,
LICHSGFIN.NS,LIC Housing Finance Limited,NSE,
LTTS.NS,L&T Technology Services Limited,NSE,
MANAPPURAM.NS,Manappuram Finance Limited,NSE,
MAXHEALTH.NS,Max Healthcare Institute Limited,NSE,
MCX.NS,Multi Commodity Exchange of India,NSE,
METROPOLIS.NS,Metropolis Healthcare Limited,NSE,
MFSL.NS,Max Financial Services Limited,NSE,
MGL.NS,Mahanagar Gas Limited,NSE,
MOTHERSON.NS,Samvardhana Motherson International Limited,NSE,
NAM-INDIA.NS,Nippon Life India Asset Management,NSE,
NATIONALUM.NS,National Aluminium Company Limited,NSE,
NIACL.NS,New India Assurance Company Limited,NSE,
PAYTM.NS,One 97 Communications Limited,NSE,
PFC.NS,Power Finance Corporation Limited,NSE,
PHOENIXLTD.NS,The Phoenix Mills Limited,NSE,
PRESTIGE.NS,Prestige Estates Projects Limited,NSE,
PVRINOX.NS,PVR INOX Limited,NSE,
RAJESHEXPO.NS,Rajesh Exports Limited,NSE,
RAMCOCEM.NS,The Ramco Cements Limited,NSE,
RBLBANK.NS,RBL Bank Limited,NSE,
RECLTD.NS,REC Limited,NSE,
RELAXO.NS,Relaxo Footwears Limited,NSE,
SBICARD.NS,SBI Cards and Payment Services Limited,NSE,
SJVN.NS,SJVN Limited,NSE,
SOLARINDS.NS,Solar Industries India Limited,NSE,
SONACOMS.NS,Sona BLW Precision Forgings Limited,NSE,
STAR.NS,Star Health and Allied Insurance,NSE,
SUNDARMFIN.NS,Sundaram Finance Limited,NSE,
SYNGENE.NS,Syngene International Limited,NSE,
TATACHEM.NS,Tata Chemicals Limited,NSE,
TATAELXSI.NS,Tata Elxsi Limited,NSE,
THERMAX.NS,Thermax Limited,NSE,
TIINDIA.NS,Tube Investments of India Limited,NSE,
TRIDENT.NS,Trident Limited,NSE,
TVSMOTOR.NS,TVS Motor Company Limited,NSE,
UNIONBANK.NS,Union Bank of India,NSE,
UNITDSPR.NS,United Spirits Limited,NSE,
WHIRLPOOL.NS,Whirlpool of India Limited,NSE,
YESBANK.NS,Yes Bank Limited,NSE,
^NSEI,Nifty 50 Index,INDEX,
^BSESN,BSE Sensex Index,INDEX,
^NSEBANK,Nifty Bank Index,INDEX,
^NSMIDCP,Nifty Midcap 50 Index,INDEX,
RELIANCE.BO,Reliance Industries Limited,BSE,
TCS.BO,Tata Consultancy Services Limited,BSE,
HDFCBANK.BO,HDFC Bank Limited,BSE,
INFY.BO,Infosys Limited,BSE,
ICICIBANK.BO,ICICI Bank Limited,BSE,
HINDUNILVR.BO,Hindustan Unilever Limited,BSE,
ITC.BO,ITC Limited,BSE,
SBIN.BO,State Bank of India,BSE,
BHARTIARTL.BO,Bharti Airtel Limited,BSE,
KOTAKBANK.BO,Kotak Mahindra Bank Limited,BSE,
LT.BO,Larsen & Toubro Limited,BSE,
AXISBANK.BO,Axis Bank Limited,BSE,
ASIANPAINT.BO,Asian Paints Limited,BSE,
MARUTI.BO,Maruti Suzuki India Limited,BSE,
TITAN.BO,Titan Company Limited,BSE,
SUNPHARMA.BO,Sun Pharmaceutical Industries Limited,BSE,
BAJFINANCE.BO,Bajaj Finance Limited,BSE,
WIPRO.BO,Wipro Limited,BSE,
TATAMOTORS.BO,Tata Motors Limited,BSE,
M&M.BO,Mahindra & Mahindra Limited,BSE,
ADANIENT.BO,Adani Enterprises Limited,BSE,
HCLTECH.BO,HCL Technologies Limited,BSE,
TATASTEEL.BO,Tata Steel Limited,BSE,
NTPC.BO,NTPC Limited,BSE,
POWERGRID.BO,Power Grid Corporation of India Limited,BSE,
COALINDIA.BO,Coal India Limited,BSE,
ONGC.BO,Oil and Natural Gas Corporation Limited,BSE,
DRREDDY.BO,Dr. Reddy's Laboratories Limited,BSE,
CIPLA.BO,Cipla Limited,BSE,
BAJAJ-AUTO.BO,Bajaj Auto Limited,BSE,
ZOMATO.BO,Zomato Limited,BSE,
HAL.BO,Hindustan Aeronautics Limited,BSE,
DLF.BO,DLF Limited,BSE,
TATAPOWER.BO,Tata Power Company Limited,BSE,
VEDL.BO,Vedanta Limited,BSE,
IRFC.BO,Indian Railway Finance Corporation Limited,BSE,
PNB.BO,Punjab National Bank,BSE,
BANKBARODA.BO,Bank of Baroda,BSE,
IOC.BO,Indian Oil Corporation Limited,BSE,
BEL.BO,Bharat Electronics Limited,BSE,
AAPL,Apple Inc.,NASDAQ/NYSE,
MSFT,Microsoft Corporation,NASDAQ/NYSE,
NVDA,NVIDIA Corporation,NASDAQ/NYSE,
GOOGL,Alphabet Inc. (Class A),NASDAQ/NYSE,
AMZN,Amazon.com Inc.,NASDAQ/NYSE,
META,Meta Platforms Inc.,NASDAQ/NYSE,
BRK-B,Berkshire Hathaway Inc.,NASDAQ/NYSE,
TSLA,Tesla Inc.,NASDAQ/NYSE,
LLY,Eli Lilly and Company,NASDAQ/NYSE,
AVGO,Broadcom Inc.,NASDAQ/NYSE,
V,Visa Inc.,NASDAQ/NYSE,
JPM,JPMorgan Chase & Co.,NASDAQ/NYSE,
WMT,Walmart Inc.,NASDAQ/NYSE,
MA,Mastercard Incorporated,NASDAQ/NYSE,
UNH,UnitedHealth Group Incorporated,NASDAQ/NYSE,
XOM,Exxon Mobil Corporation,NASDAQ/NYSE,
HD,The Home Depot Inc.,NASDAQ/NYSE,
PG,The Procter & Gamble Company,NASDAQ/NYSE,
JNJ,Johnson & Johnson,NASDAQ/NYSE,
COST,Costco Wholesale Corporation,NASDAQ/NYSE,
MRK,Merck & Co. Inc.,NASDAQ/NYSE,
ABBV,AbbVie Inc.,NASDAQ/NYSE,
CRM,Salesforce Inc.,NASDAQ/NYSE,
AMD,Advanced Micro Devices Inc.,NASDAQ/NYSE,
CVX,Chevron Corporation,NASDAQ/NYSE,
NFLX,Netflix Inc.,NASDAQ/NYSE,
PEP,PepsiCo Inc.,NASDAQ/NYSE,
KO,The Coca-Cola Company,NASDAQ/NYSE,
ADBE,Adobe Inc.,NASDAQ/NYSE,
INTC,Intel Corporation,NASDAQ/NYSE,
QCOM,QUALCOMM Incorporated,NASDAQ/NYSE,
CSCO,Cisco Systems Inc.,NASDAQ/NYSE,
TXN,Texas Instruments Incorporated,NASDAQ/NYSE,
AMAT,Applied Materials Inc.,NASDAQ/NYSE,
INTU,Intuit Inc.,NASDAQ/NYSE,
ISRG,Intuitive Surgical Inc.,NASDAQ/NYSE,
NOW,ServiceNow Inc.,NASDAQ/NYSE,
SBUX,Starbucks Corporation,NASDAQ/NYSE,
HON,Honeywell International Inc.,NASDAQ/NYSE,
BA,The Boeing Company,NASDAQ/NYSE,
GE,General Electric Company,NASDAQ/NYSE,
DIS,The Walt Disney Company,NASDAQ/NYSE,
NKE,NIKE Inc.,NASDAQ/NYSE,
PFE,Pfizer Inc.,NASDAQ/NYSE,
^GSPC,S&P 500 Index,INDEX,
^IXIC,NASDAQ Composite Index,INDEX,
^DJI,Dow Jones Industrial Average,INDEX,
